2009-10-03 01:01:10 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 26]
2009-10-03 01:12:52 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 01:12:52 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 01:14:03 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 01:16:18 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 01:41:46 Notice: Notice (8): Undefined variable: dgroup in [APP/views/dgroups/admin_new.ctp, line 2]
2009-10-03 13:07:50 Notice: Notice (8): Undefined property: MenuController::$Dgrops in [APP/controllers/menu_controller.php, line 7]
2009-10-03 13:23:59 Notice: Notice (8): Undefined index: dgroup_id in [APP/views/elements/admin_dish_form.ctp, line 5]
2009-10-03 13:24:11 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:24:11 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:24:11 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:24:11 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:24:14 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:24:14 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:24:14 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:24:14 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:24:26 Notice: Notice (8): Undefined property: Dish::$dgroup_id in [APP/controllers/dishes_controller.php, line 32]
2009-10-03 13:26:49 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 32]
2009-10-03 13:27:25 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:27:25 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:27:25 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
2009-10-03 13:27:25 Notice: Notice (8): Undefined index: description in [APP/views/elements/admin_dish_form.ctp, line 6]
2009-10-03 13:27:32 Notice: Notice (8): Undefined property: Dish::$dgroups_id in [APP/controllers/dishes_controller.php, line 32]
2009-10-03 13:28:19 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 13:28:25 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 13:28:29 Notice: Notice (8): Undefined variable: dgroup_id in [APP/views/dishes/admin_index.ctp, line 3]
2009-10-03 13:28:31 Notice: Notice (8): Undefined variable: id in [APP/controllers/dishes_controller.php, line 14]
2009-10-03 13:28:31 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 2]
2009-10-03 13:28:31 Notice: Notice (8): Undefined index: name in [APP/views/elements/admin_dish_form.ctp, line 3]
2009-10-03 13:28:31 Notice: Notice (8): Undefined index: id in [APP/views/elements/admin_dish_form.ctp, line 4]
